week,2015,2014,2013,2012,2011
1,112,50,72,55,2
2,98,92,89,45,51
3,135,220,131,110,44
4,220,137,93,96,31
5,128,83,132,63,55
6,146,111,49,78,119
7,140,136,141,122,35
8,91,74,117,77,77
9,86,126,46,27,111
10,80,88,95,129,75
11,141,206,114,86,48
12,84,86,101,111,37
13,103,103,100,46,31
14,131,113,61,52,69
15,114,128,81,60,81
16,213,230,195,55,92
17,89,133,83,52,23
18,53,133,80,164,106
19,19,103,60,64,70
20,171,137,105,77,46
21,82,154,93,103,28
22,119,107,37,19,47
23,80,133,97,89,60
24,155,164,81,123,108
25,132,104,104,78,52
26,94,36,72,103,82
27,166,172,63,70,22
28,97,138,124,86,55
29,329,186,137,208,126
30,61,87,43,150,50
31,36,88,126,17,64
32,48,45,76,137,85
33,268,147,67,193,59
34,134,97,124,160,23
35,90,92,83,151,60
36,118,60,49,134,24
37,95,477,120,173,59
38,185,231,160,159,201
39,108,269,86,115,57
40,72,231,183,107,70
41,2,161,118,163,107
42,4,637,170,143,116
43,0,396,103,78,55
44,0,94,78,102,50
45,0,141,70,67,62
46,0,121,100,114,25
47,0,120,148,117,40
48,0,109,51,63,53
49,0,118,101,79,60
50,0,204,181,47,143
51,0,147,107,68,51
52,0,101,70,49,53
